"Daily Weather Observations for Karratha, Western Australia for March 2014"
"Prepared at 13:08 UTC on Friday  4 July 2014   IDCJDW6064.201403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Observations were drawn from Karratha Aero {station 004083}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-03-1,26.5,38.6,0,,,NE,35,14:38,33.4,46,,E,11,1011.1,37.6,14,,NNE,24,1007.3
,2014-03-2,23.7,40.5,0,,,W,30,18:20,34.7,33,,SSE,11,1010.7,39.7,13,,NNE,20,1007.2
,2014-03-3,27.6,42.2,0,,,W,33,16:40,37.1,23,,SSW,20,1010.2,40.9,20,,N,17,1007.4
,2014-03-4,26.1,41.8,0,,,NW,30,15:58,32.9,70,,WSW,11,1011.7,39.4,38,,NW,20,1007.8
,2014-03-5,26.2,40.7,0,,,W,33,15:55,31.0,82,,WSW,13,1011.2,37.3,43,,NW,22,1007.4
,2014-03-6,26.4,40.3,0,,,NW,31,13:13,32.5,69,,W,13,1009.7,37.8,42,,WNW,24,1006.4
,2014-03-7,26.3,42.4,0,,,W,39,16:27,34.2,51,,W,11,1010.2,40.2,32,,W,26,1006.8
,2014-03-8,27.9,35.8,0,,,NE,39,11:55,32.9,74,,N,7,1010.3,34.7,65,,NNE,19,1007.4
,2014-03-9,29.7,38.4,0,,,WSW,37,17:00,32.8,62,,NW,13,1010.3,36.2,52,,WNW,24,1006.6
,2014-03-10,28.9,38.0,0,,,NW,35,15:30,32.7,67,,WSW,17,1010.5,36.0,47,,NW,22,1007.9
,2014-03-11,27.6,37.3,0,,,NNW,31,15:29,32.1,74,,W,24,1011.4,35.6,46,,NNW,22,1008.6
,2014-03-12,28.2,41.0,0,,,WSW,35,20:43,35.6,40,,E,11,1011.2,37.5,50,,WNW,24,1007.1
,2014-03-13,31.0,41.8,0,,,N,31,14:56,36.4,36,,SW,7,1008.9,38.3,45,,NNW,22,1005.5
,2014-03-14,29.1,38.6,0,,,NNW,31,17:52,33.5,68,,WNW,17,1011.0,38.2,42,,NW,20,1007.6
,2014-03-15,29.5,38.4,0,,,NW,35,16:14,32.3,76,,W,15,1011.1,37.4,38,,NNW,26,1007.3
,2014-03-16,30.6,36.8,0,,,W,31,12:59,33.2,66,,WNW,15,1012.2,35.0,59,,WNW,24,1009.1
,2014-03-17,26.8,37.5,0,,,W,30,19:17,32.8,62,,NNE,7,1012.7,36.8,35,,WNW,20,1010.2
,2014-03-18,26.3,38.0,0,,,NE,37,12:27,35.7,36,,SE,17,1013.8,36.5,45,,NNE,19,1011.2
,2014-03-19,27.8,40.7,0,,,WSW,43,18:53,36.3,32,,E,15,1012.6,39.4,29,,NNE,24,1009.4
,2014-03-20,28.2,39.5,0,,,S,65,18:23,37.5,25,,ESE,28,1010.8,34.7,60,,NE,24,1007.6
,2014-03-21,26.6,37.6,0,,,E,44,01:04,33.0,43,,SE,7,1009.6,35.6,39,,NNE,22,1007.2
,2014-03-22,26.6,38.5,0,,,SW,41,19:23,32.5,47,,NE,13,1010.4,37.2,39,,NNW,19,1007.2
,2014-03-23,26.4,42.3,0,,,E,46,10:26,37.2,28,,ESE,26,1011.1,38.0,32,,NNE,28,1007.3
,2014-03-24,27.8,37.6,0,,,NNE,41,13:17,33.9,65,,E,17,1011.6,36.4,39,,NNE,24,1007.6
,2014-03-25,28.6,38.1,0,,,NE,43,10:25,34.5,41,,E,22,1010.7,37.3,34,,NNE,20,1007.7
,2014-03-26,27.1,37.7,0,,,NNE,31,12:04,33.0,58,,W,9,1010.9,34.7,50,,NNW,19,1007.7
,2014-03-27,27.5,34.8,0,,,E,54,23:42,32.9,65,,N,13,1010.5,33.4,59,,NNW,20,1008.2
,2014-03-28,22.0,31.3,9.4,,,NNE,67,01:10,28.5,78,,SW,11,1011.7,30.2,66,,NE,13,1010.6
,2014-03-29,24.0,36.3,0,,,WSW,35,20:34,31.1,55,,SSW,15,1011.7,34.9,45,,NW,22,1008.2
,2014-03-30,24.1,34.4,0,,,NW,33,13:58,30.3,54,,WSW,7,1012.1,32.8,46,,WNW,24,1009.7
,2014-03-31,24.5,34.6,0,,,NW,30,16:04,30.8,57,,SW,9,1012.9,32.8,50,,NNW,19,1010.2
